SR NO,Category,Item Code,Description,Uom,RYA01,RYA02,RYA03,RYA04,RYA05,RYA06,RYA07,RYA08,RYA09,TOTAL
1,MATERIAL,NEL001308,48 FIBER ,Mtr,,,,,,,,,,
2,MATERIAL,NET000476,24 FIBER ,Mtr,,,,,,,,,,
3,MATERIAL,TNL004235,SS STRIP 207,No,,,,,,,,,,
4,MATERIAL,TNL004217,BIG BUCKLE ,No,,,,,,,,,,
5,MATERIAL,TNL004213,BIG ANCHER ,No,,,,,,,,,,
6,MATERIAL,TNL004220,SUSPENSON BIG  ,No,,,,,,,,,,
7,MATERIAL,B0HRFAXK8,16f Fat,No,,,,,,,,,,
8,MATERIAL,TNL004293,SPLITER 2.8,No,,,,,,,,,,
9,MATERIAL,,SPLITER 1.8,,,,,,,,,,,
10,MATERIAL,TNL004250,96 JC ODF ,No,,,,,,,,,,
11,MATERIAL,,48 FDMS ,No,,,,,,,,,,
12,MATERIAL,TNL004231,PIGTAL ,No,,,,,,,,,,
13,MATERIAL,,6 MTR POLE,No,,,,,,,,,,
14,MATERIAL,NET006467,8 MTR GI POLE ,No,,,,,,,,,,
15,MATERIAL,,48 JC CLOSER ,No,,,,,,,,,,
16,MATERIAL,TNL004212,LOOP BRACKET,No,,,,,,,,,,
17,MATERIAL,TNL004221,BIG DEDAN,No,,,,,,,,,,
18,SERVICE,TNL001310,POLE ANGLE,No,,,,,,,,,,
19,SERVICE,,6 MTR FRP,No,,,,,,,,,,
20,SERVICE,,8M GI POLE,No,,,,,,,,,,
21,SERVICE,TNL003738,FIRST CABLE ,Mtr,,2475,2287,1973,4906,2823,,6436,1706,22606
22,SERVICE,TNL004390,COMMON CABLE ,Mtr,,2470,990,1860,750,1287,,310,,
23,OTHER,,TOTAL CABLE,Mtr,3391,6325,4113,5283,7136,5922,4409,8462,1906,
24,OTHER,,2ND CABLE ,,,1380,836,1450,1480,1812,,1716,200,
25,OTHER,,Pole Dismantal,Nos,,,,,,,,,,
26,OTHER,,Cable Dismental,Mtr,,,,,,,,,,
27,MATERIAL,,3% Cable Wastage,Mtr,,,,,,,,,,
,,,,,,,,,,,,,,
